,time,lap_time,lap_dist,overall_dist,pos_x,pos_y,pos_z,vel,vel_x,vel_y,vel_z,roll_vec_x,roll_vec_y,roll_vec_z,pitch_vec_x,pitch_vec_y,pitch_vec_z,pos_sus_rl,pos_sus_rr,pos_sus_fl,pos_sus_fr,vel_sus_rl,vel_sus_rr,vel_sus_fl,vel_sus_fr,vel_wheel_rl,vel_wheel_rr,vel_wheel_fl,vel_wheel_fr,throttle,steering,brake,clutch,gear,gforce_lat,gforce_lon,num_lap,eng_rpm
0,90.00061798095703,66.44734191894531,1460.086669921875,0.2553764581680298,-1277.9464111328125,672.2156982421875,-599.3452758789062,0.0555078461766243,-0.043699897825717926,0.003941482864320278,-0.03399859368801117,-0.6859874725341797,0.3676612675189972,0.6278904676437378,0.592488169670105,-0.21864832937717438,0.7753390669822693,26.331762313842773,-40.622657775878906,-42.71894454956055,-7.4267191886901855,-27.018760681152344,65.12623596191406,-132.3236541748047,-13.54636287689209,-8.212230895310313e-09,-4.692703559072697e-09,0.0,-0.0006486402126029134,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,241.52532958984375
1,90.01036071777344,66.46400451660156,1460.086669921875,0.2553764581680298,-1277.9462890625,672.2156372070312,-599.3451538085938,0.055954594165086746,-0.04515828937292099,0.0007162988185882568,-0.033032290637493134,-0.6859809756278992,0.3676612973213196,0.6278975605964661,0.5925276279449463,-0.21858111023902893,0.7753279209136963,26.392208099365234,-40.60907745361328,-42.74330139160156,-7.418612003326416,-23.868356704711914,75.31684875488281,-136.9219512939453,-22.03814697265625,0.0948019027709961,0.08831099420785904,0.0,0.0,0.0,0.0,1.0,0.8333333134651184,10.0,0.0,0.0,0.0,237.4027862548828
2,90.02034759521484,66.48067474365234,1460.0867919921875,0.2553764581680298,-1277.9464111328125,672.215576171875,-599.34521484375,0.06214148551225662,-0.04873567819595337,0.005213267169892788,-0.038199733942747116,-0.6859752535820007,0.36766499280929565,0.6279016733169556,0.592522919178009,-0.218601793050766,0.7753257155418396,26.487796783447266,-40.50672149658203,-42.79632568359375,-7.409668445587158,-24.326601028442383,76.66729736328125,-146.7338409423828,-21.382511138916016,-0.08746171742677689,-0.08746171742677689,0.0008177348063327372,0.0,1.0,0.0,0.0,0.8333333134651184,10.0,-0.017639823257923126,-0.14535772800445557,0.0,238.80909729003906
3,90.03079986572266,66.48067474365234,1460.0867919921875,0.2553764581680298,-1277.9464111328125,672.215576171875,-599.34521484375,0.06214148551225662,-0.04873567819595337,0.005213267169892788,-0.038199733942747116,-0.6859752535820007,0.36766499280929565,0.6279016733169556,0.592522919178009,-0.218601793050766,0.7753257155418396,26.487796783447266,-40.50672149658203,-42.79632568359375,-7.409668445587158,-24.326601028442383,76.66729736328125,-146.7338409423828,-21.382511138916016,-0.08746171742677689,-0.08746171742677689,0.0008177348063327372,0.0,1.0,0.0,0.0,0.8333333134651184,10.0,0.0,0.0,0.0,238.80909729003906
4,90.0463638305664,66.4973373413086,1460.086669921875,0.2553764581680298,-1277.946533203125,672.2156372070312,-599.3453979492188,0.06270905584096909,-0.047129228711128235,0.009013170376420021,-0.040373556315898895,-0.685980498790741,0.3676593601703644,0.627899169921875,0.5924755334854126,-0.2186962217092514,0.7753353118896484,26.471067428588867,-40.50057601928711,-42.724056243896484,-7.25977897644043,-35.54331588745117,69.96485137939453,-118.12650299072266,-7.4319353103637695,-0.05915549769997597,-0.05915549769997597,0.0,0.0,1.0,0.0,0.0,0.8333333134651184,10.0,0.0,0.0,0.0,246.75857543945312
5,90.05614471435547,66.51400756835938,1460.08642578125,0.255376398563385,-1277.9466552734375,672.2157592773438,-599.3456420898438,0.06247181072831154,-0.04699061065912247,0.012026079930365086,-0.03936982527375221,-0.6859561204910278,0.36763906478881836,0.6279377341270447,0.5924416780471802,-0.21885822713375092,0.7753154635429382,26.303007125854492,-40.733455657958984,-42.61198425292969,-7.1986403465271,-48.09636688232422,59.594215393066406,-128.40777587890625,-17.224124908447266,-0.013409874401986599,-0.025528229773044586,0.0,-0.007325270213186741,1.0,0.0,0.0,0.8333333134651184,10.0,-0.03461679816246033,0.004233838990330696,0.0,254.7847900390625
6,90.07018280029297,66.53067016601562,1460.086181640625,0.2553763687610626,-1277.94677734375,672.2158813476562,-599.3458251953125,0.057668160647153854,-0.04147353768348694,0.012816705740988255,-0.037964385002851486,-0.6859639883041382,0.36764538288116455,0.6279253959655762,0.5923479199409485,-0.21903017163276672,0.7753385305404663,26.075714111328125,-41.06306838989258,-42.529903411865234,-7.2143683433532715,-50.47640609741211,61.56855773925781,-131.9788360595703,-17.986438751220703,-0.04940301924943924,-0.04940301924943924,-0.00635875016450882,-0.0036500985734164715,1.0,0.0,0.0,0.8333333134651184,10.0,0.05850163474678993,0.0937463790178299,0.0,262.9310302734375
7,90.08419799804688,66.53067016601562,1460.086181640625,0.2553763687610626,-1277.94677734375,672.2158813476562,-599.3458251953125,0.057668160647153854,-0.04147353768348694,0.012816705740988255,-0.037964385002851486,-0.6859639883041382,0.36764538288116455,0.6279253959655762,0.5923479199409485,-0.21903017163276672,0.7753385305404663,26.075714111328125,-41.06306838989258,-42.529903411865234,-7.2143683433532715,-50.47640609741211,61.56855773925781,-131.9788360595703,-17.986438751220703,-0.04940301924943924,-0.04940301924943924,-0.00635875016450882,-0.0036500985734164715,1.0,0.0,0.0,0.8333333134651184,10.0,0.0,0.0,0.0,262.9310302734375
8,90.0984115600586,66.5473403930664,1460.0859375,0.25537630915641785,-1277.94677734375,672.216064453125,-599.3460083007812,0.05598851293325424,-0.03942059725522995,0.013955171220004559,-0.03722880035638809,-0.6859372854232788,0.36772361397743225,0.6279088854789734,0.5922524929046631,-0.21920832991600037,0.7753611207008362,25.792461395263672,-41.41741180419922,-42.46355056762695,-6.9398393630981445,-50.74835968017578,61.684242248535156,-138.27133178710938,7.106715679168701,-0.034231122583150864,-0.03423111513257027,-0.008104058913886547,-0.009170178323984146,1.0,0.0,0.0,0.8333333134651184,10.0,0.0,0.0,0.0,271.1942138671875
9,90.11268615722656,66.56400299072266,1460.0858154296875,0.25537630915641785,-1277.94677734375,672.2162475585938,-599.34619140625,0.05419374629855156,-0.037849001586437225,0.014571580104529858,-0.035945575684309006,-0.6859087944030762,0.36778730154037476,0.627902626991272,0.5921555757522583,-0.21941164135932922,0.7753775119781494,25.4442195892334,-41.878536224365234,-42.433692932128906,-6.904159069061279,-55.07393264770508,59.74180221557617,-132.76934814453125,-25.053590774536133,-0.02543492242693901,-0.02543492242693901,-0.01176039595156908,-0.01379860658198595,1.0,0.0,0.0,0.8333333134651184,10.0,0.0,0.0,0.0,279.5758972167969
